EP2 - Ciclistas!

Ranking - Rodada 1:
  43o - 0039 
  44o - 0044 
  45o - 0029 
  46o - 0028 
  47o - 0033 
  48o - 0011 
  49o - 0002 
  50o - 0007 
  51o - 0012 
  52o - 0023 
  53o - 0010 
  54o - 0000 
  55o - 0004 
  56o - 0091 
  57o - 0094 
  58o - 0092 
  59o - 0087 
  60o - 0075 
  61o - 0086 
  62o - 0084 
  63o - 0082 
  64o - 0073 
  65o - 0070 
  66o - 0071 
  67o - 0040 
  68o - 0051 
  69o - 0061 
  70o - 0052 
  71o - 0050 
  72o - 0049 
  73o - 0026 
  74o - 0035 
  75o - 0013 
  76o - 0014 
  77o - 0078 
  78o - 0069 
  79o - 0062 
  80o - 0041 
  81o - 0042 
  82o - 0046 
  83o - 0020 
  84o - 0017 
  85o - 0008 
  86o - 0081 
  87o - 0088 
  88o - 0066 
  89o - 0032 

Ops! O ciclista   75 quebrou na rodada 18! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 16:
   1o - 0034 
   2o - 0006 
   3o - 0077 
   4o - 0038 
   5o - 0047 
   6o - 0037 
   7o - 0027 
   8o - 0022 
   9o - 0095 
  10o - 0098 
  11o - 0093 
  12o - 0085 
  13o - 0089 
  14o - 0079 
  15o - 0064 
  16o - 0043 
  17o - 0036 
  18o - 0030 
  19o - 0031 
  20o - 0019 
  21o - 0009 
  22o - 0003 
  23o - 0099 
  24o - 0097 
  25o - 0096 
  26o - 0083 
  27o - 0074 
  28o - 0068 
  29o - 0065 
  30o - 0056 
  31o - 0059 
  32o - 0063 
  33o - 0054 
