EP2 - Ciclistas!

Ranking - Rodada 1:
  14o - 0047 
  15o - 0043 
  16o - 0050 
  17o - 0053 
  18o - 0078 
  19o - 0042 
  20o - 0029 
  21o - 0064 
  22o - 0013 
  23o - 0077 
  24o - 0085 
  25o - 0086 
  26o - 0036 
  27o - 0052 
  28o - 0037 
  29o - 0020 
  30o - 0056 
  31o - 0083 
  32o - 0068 
  33o - 0096 
  34o - 0044 
  35o - 0016 
  36o - 0089 
  37o - 0098 
  38o - 0017 
  39o - 0090 
  40o - 0000 
  41o - 0001 
  42o - 0031 
  43o - 0082 
  44o - 0084 
  45o - 0034 
  46o - 0076 
  47o - 0035 
  48o - 0080 
  49o - 0057 
  50o - 0065 
  51o - 0066 
  52o - 0070 
  53o - 0054 
  54o - 0038 
  55o - 0025 
  56o - 0026 
  57o - 0023 
  58o - 0079 
  59o - 0041 
  60o - 0072 
  61o - 0063 
  62o - 0033 
  63o - 0008 
  64o - 0061 
  65o - 0073 
  66o - 0051 
  67o - 0019 
  68o - 0092 
  69o - 0014 
  70o - 0071 
  71o - 0088 
  72o - 0003 
  73o - 0002 
  74o - 0010 
  75o - 0024 
  76o - 0005 
  77o - 0074 
  78o - 0062 
  79o - 0058 
  80o - 0055 
  81o - 0081 
  82o - 0097 
  83o - 0099 
  84o - 0018 
  85o - 0093 
  86o - 0091 
  87o - 0048 


Ranking - Rodada 10:
   1o - 0040 
   2o - 0039 
   3o - 0028 
   4o - 0067 
   5o - 0095 
   6o - 0004 
   7o - 0011 
   8o - 0059 
   9o - 0043 
  10o - 0047 
  11o - 0053 
  12o - 0078 
  13o - 0042 
  14o - 0029 
  15o - 0064 
  16o - 0013 
  17o - 0077 
  18o - 0085 
  19o - 0052 
  20o - 0037 
  21o - 0036 
  22o - 0083 
  23o - 0056 
  24o - 0094 
  25o - 0096 
  26o - 0016 
  27o - 0017 
  28o - 0006 
  29o - 0090 
  30o - 0001 
  31o - 0032 
  32o - 0082 
  33o - 0034 
  34o - 0035 
  35o - 0076 
  36o - 0075 
  37o - 0057 
  38o - 0065 
